文件索引	    一级标签名			二级标签名
_BAOCHAO	一级标签“爆炒”		二级标签“爆炒”
_666		一级标签“评级”		二级标签“五星”
_3P			一级标签“类型”		二级标签“3P”
_FL			一级标签“类型”		二级标签“正入-躺”
_BK			一级标签“类型”		二级标签“后入-跪”
_BL			一级标签“类型”		二级标签“后入-躺”
_BS			一级标签“类型”		二级标签“后入-站”
_BP			一级标签“类型”		二级标签“后入-趴”
_GU			一级标签“类型”		二级标签“女上”
_FS			一级标签“类型”		二级标签“正入-站”
_HU			一级标签“类型”		二级标签“抱草”
_FG			一级标签“类型”		二级标签“前贴玻璃”
_BSW		一级标签“袜子类型”	二级标签“白丝”
_BTW		一级标签“袜子类型”	二级标签“白色小腿袜”
_BYW		一级标签“袜子类型”	二级标签“白色渔网”
_BGX		一级标签“袜子类型”	二级标签“白色过膝袜”
_HYW		一级标签“袜子类型”	二级标签“黑色渔网”
_HGX		一级标签“袜子类型”	二级标签“黑色过膝袜”
_HTW		一级标签“袜子类型”	二级标签“黑色小腿袜”
_HSW		一级标签“袜子类型”	二级标签“黑丝”
_RSW		一级标签“袜子类型”	二级标签“肉丝”


